location,date,link,price,comp_name,full_name,currency,description,type
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44533470,520,Dell,"Noutbuk ""Dell Latitude 5420""",AZN,"Dell Latitude noutbuku. Tam işlək, yaxşı vəziyyətdədir. Biznes Modeldir , işıqlı klaviatura. Windows Original lisenziyalı.
Incə və yüngül modeldir . Rəsmi zəmanət verilir.
-------------------
Processor : i5 - 1145G7 4.20 GHz
Ram : 16GB
Yaddaş : 512GB SSD
Ekran : 14 FHD IPS
Videokart : intel UHD
---------------------------------
🎁Windows 11+Office Programs
📄 1il Rəsmi zəmanət
---------------------
👑
Ünvan: 28 Mall-ın yanı AZİ ile uzbe-uz 9cu mağaza TeleStop
Satışda Topdan Qiymetlerle çeşidlerimiz çoxdur
------------------------------------
#noutbuk #notebook #komputer #kompyuter #laptop #asuszenbook14 #28may #oled #asuszenbook #q415m #asus",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44037369,579,HP,"Noutbuk ""HP""",AZN,"Hp Laptop 15
💠Model: Hp Laptop 15
💠Prosessor: İ5-1135G7
💠Ekran: 14,0 FHD 60.0Hz
💠Ram: 8GB 3200Mhz
💠Yaddaş: 256Gb SSD M.2 NVMe
💠Videokarta: İntel İris xe
💠Zəmanət: 1ay",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44474922,1399,HP,HP Viktus Gaming Rtx3050ti 6GB,AZN,"🔥 Oyunların qəhrəmanı – HP Victus RTX3050Ti ilə TANış OL! 🔥
Hp Viktus Gaming Rtx3050ti 6Gb
HP Victus Gaming 15-fa0xxx
⚙️ Intel(R) Core i7-12650H (16 CPU) ~2.3 GHz
⚙️ DDR4 16 GB RAM
⚙️ 512 GB M.2 NVMe SSD
⚙️ Nvidia GeForce RTX 3050Ti
⚙️ 15.6"" FHD 144Hz Ekran
⚙️ İşıqlı Klaviatura
⚙️ Windows 11 Pro",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43858161,730,Asus,"Noutbuk ""Asus Vivobook""",AZN,"⬛Barter mumkundur ( başqa avadanlıqlada )
⬛Kohne madelleri vererek yenisin alin
⬛Gəlməzdən öncə mütləq və mütləq xəber edin.
⬛Ofisdə seçim imkanımız çoxdur
------------------------------
⬛Asus Vivobook
⬛PRO:Intel Core i7-1165G7 2.80GHz
⬛Ram : 16GB DD4
⬛Ekran Karti: 8GB İNTEL İRİS GR
⬛SSD :512GB NVME M2
⬛İşıqlı Klaviatura
⬛EKRAN OLCUSU :15.6 IPS FHD 144Hz
⬛WINDOWS:11 PRO
⬛Hec bir problemi yoxdur
⬛ZEMANETLE
⬛BARTER MUMKUNDUR
⬛Qiymət:899Azn yox 730Azn
--------------------------------
⬛Xətai mt/s Demirchi Tower
⬛ ARTİQ İLLERDİ KOMANDAMİZLA BERABER PROFESSİONAL CEKİLİSLER EDİRİK.
⬛BU SƏBEBDEN GELMEMİSDEN ONCE ZENGİNİZ MUTLEQDİR.
------------------------------------
⬛Xətai mt/s Demirchi Tower",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43640742,630,Acer,"Noutbuk ""Acer Aspire""",AZN,"⬛Barter mumkundur
⬛Kohne madelleri vererek yenisin alin
------------------------------
⬛Acer Aspire 5
⬛PRO:İntel Core i5-1135th 2.40GHz
⬛Ram : 12GB DD4
⬛Ekran Karti: 6GB Radeon intel İris Xe
⬛SSD :256 GB NVME (Yaddas)
⬛HDD :512GB Sata (Yaddas)
⬛EKRAN OLCUSU :14 FULL HD EKRAN
⬛WINDOWS:11 PRO
⬛İDEAL VEZIYYETDEDIR
⬛ZEMANETLE
⬛BARTER MUMKUNDUR
⬛Qiymət:630Azn ENDIRIMDE
--------------------------------",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/41746922,850,MSI,MSİ GF63,AZN,"⬛Barter mumkundur ( başqa avadanlıqlada )
⬛Kohne madelleri vererek yenisin alin
⬛Gəlməzdən öncə mütləq və mütləq xəber edin.
⬛Ofisdə seçim imkanımız çoxdur
------------------------------
⬛MSİ GF63 GAMİNG
⬛PRO:Intel Core i5-1245H
⬛Ram : 16GB DD4
⬛Ekran Karti: 8GB İNTEL İRİS GR
⬛SSD :512GB NVME M2
⬛HDD:1TB Sata
⬛EKRAN OLCUSU :15.6 IPS FHD 144Hz
⬛WINDOWS:11 PRO
⬛Demek olar Yenidir. Qutusuz
⬛ZEMANETLE
⬛BARTER MUMKUNDUR
⬛Qiymət:1111Azn yox 850AZN
--------------------------------
⬛Xətai mt/s Demirchi Tower
⬛ ARTİQ İLLERDİ KOMANDAMİZLA BERABER PROFESSİONAL CEKİLİSLER EDİRİK.
⬛BU SƏBEBDEN GELMEMİSDEN ONCE ZENGİNİZ MUTLEQDİR.
------------------------------------
⬛Xətai mt/s Demirchi Tower",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/40333373,740,Acer,"Noutbuk ""Acer Nitro 5""",AZN,"⬛Barter mumkundur
⬛Kohne madelleri vererek yenisin alin
------------------------------
⬛Acer Nitro 5
⬛PRO:AMD RYZEN 5 5200 (8nuvəli )
⬛Ram : 16GB DD4
⬛Ekran Karti: 3GB Radeon Graphigs
⬛Ekran Karti: 8GB Radeon Graphigs
⬛SSD :512 GB NVME
⬛HDD :1TB Sata (1000GB)
⬛EKRAN OLCUSU :15.6 FULL HD EKRAN
⬛WINDOWS:11 PRO
⬛İDEAL VEZIYYETDEDIR
⬛ZEMANETLE
⬛BARTER MUMKUNDUR
⬛Qiymət:740Azn ENDIRIMDE
--------------------------------
⬛Xətai mt/s Demirchi Tower
-----------------------------------------
noutbook noutbuk notbuk noutbuklar notebook Notebook Noutbuk Notbuk Noutbook ssd yaddas yaddaş hdd hard disk
Solid stade drive ekran təmir temir vga ekran karti ekran kartı apple temiri apple təmiri",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43177371,555,HP,HP Pavilion 15,AZN,"HP Pavilion 15
⬛ Kohne madelleri vererek yenisin alin
⬛Butun madeller ENDIRIMDE
⬛Cekilisle elaqeli ofisde olmaya bilerik.
⬛Onceden zeng etmeyiniz mutleqdir.
------------------------------
⬛HP Pavilion 15 ( Sayca var )
⬛PRO:Intel Core i3 -1115G4 3GHz
⬛Ram : 8 GB DD4 (Artirmaq olar)
⬛Ekran Karti: 4GB INTEL HD
⬛SSD :1TB NVME (1000GB)
⬛EKRAN OLCUSU :15.6 FULL HD
⬛WINDOWS:10 PRO
⬛DEMEK OLAR YENIDIR
⬛ZEMANETLE
⬛Qiymət:550Azn
--------------------------------
⬛Xetai mt/s Demirchi Tower",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44491311,750,HP,"Noutbuk ""HP x360 15-dr1xxx""",AZN,"⚡ Sensor ekranlı HP ENVY x360 – Güc və çevikliyi bir arada istəyənlər üçün! ⚡
Premium dizayn, yüksək performans və 360° çevrilə bilən sensor ekran – hamısı bu modeldə!",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44474972,999,Lenovo,"Noutbuk ""Lenovo Ideapad Gaming""",AZN,"Lenovo Ideapad Gaming
⚡ Oyunun ritmini dəyiş! Lenovo IdeaPad Gaming RTX3050 ilə performans zirvəsində ol! ⚡",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44494934,580,Asus,"Noutbuk ""Asus""",AZN,"Yeni nəsil noutbuk asus core i5 - 12 th , 16 ram 512 yaddaş, yaxşı vəziyyətdədi. Proqramlaşdırma, orta oyunlar üçün istifadə olunub. 2024 alınıb. Alış qiymətinin yarısından aşağı qiymətə satılır. Hərşeyi tam işləkdi, ustada olmayıb. Zaryatkasıda yaxşı saxlayır. 65wat lıq Typc girişli orginal adapteri var.
İntel Core i5 1235U 12 CPu - 12 ci nəsildi(2023 cü ildə istehsal olunub)
Ram 16gb DDR4 3200 Mhz
Video kart: İntel HD İris Graphich 8gb
Ssd M2 NVMe New Gen 512gb
15.6-inch, FHD (1920 x 1080) HD İPS
Bu qiymətə yeni nəsil noutbuk yoxdu. Təcili satılır. Harda istəsəniz yoxlada bilərsiz. Tam cavabdehəm.
notbuk, komputer, pc, notebook, notebok, notbok, netbuk, notbuk, noutbuk, Asus Rog, Hp, lenova, dell, acer, notbook, netbook, laptop,",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43084238,715,HP,HP Probook G4,AZN,"Salam, AzComp group olaraq sizə HP firmasının noutbukunu təqdim edirik. Güclü parametrlərə sahib bu noutbuk arzu etdiyiniz son parametr tələb edən proqramları rahatlıqla işlədə bilərsiniz
——————————————————-",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44473872,2200,HP,"Noutbuk ""HP OMEN 16-xf0033dx""",AZN,"• HP OMEN 16-xf0033dx
• Inch (Ekran ölçüsü) 16.1 FHD
• AMD Ryzen™ 9 7940HS
• NVIDIA® GeForce RTX™ 4070
• Ram 16 GB (5600 MHz)
• SSD 512 GB
• Gaming noutbuk
• Win 11 Pro , işıqlı klaviatura
• Vəziyyət: işlənmiş ideal",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/41876253,1300,Acer,"Noutbuk ""Acer Nitro 5""",AZN,"PROCESSOR : Intel@ Core İ5-11400H
LCD : 17.3 FHD IPS 144Hz 3ms
GRAPHICS : NVIDIA GeForce RTX 3070 (100w) with 8 GB
MEMORY : 16 GB DDR4 320MHz
STORAGE : 512GB PCle NVMe SSD
OS : WINDOWS 11",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43766120,699,Acer,"Notbuk ""Acer Aspire 3""",AZN,"Notbuk Acer Aspire 3
Salam magazadır məhsul ikinci əldir.",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44525221,699,Huawei,Huawei Matebook D16 MCLF-X (53013YDK),AZN,HUAWEI MATEBOOK D16 MCLF-X (53013YDK),shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44475328,750,Lenovo,"Noutbuk ""Lenovo""",AZN,"Lenovo i5 13 Lenovo
⚡Performans və Sərfəli Qiymət Bir Arada! Lenovo i5 13-cü Nəsil Noutbuk – Yalnız İndi!⚡",shop
